ABEV3.SA;50;12.79
AZUL4.SA;70;14.82
BBSE3.SA;9;23.5
BRKM5.SA;479;24.98
DTEX3.SA;135;8.29
EGIE3.SA;17;43.54
ENBR3.SA;23;14.72
GOLL4.SA;149;8.32
IRBR3.SA;50;6.6
ITSA3.SA;80;12.19
ITSA4.SA;295;9.38
KLBN11.SA;56;12.92
LINX3.SA;80;22.2
RAIL3.SA;40;18.68
SAPR11.SA;12;70.45
SLCE3.SA;318;18.83
TAEE11.SA;58;27.47
TIET11.SA;44;13
TRPL4.SA;150;21.02
WEGE3.SA;40;31.15
